Texas, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1895-2000
Missing: -99
Date,Value,Anomaly
193703,18.3,-0.9
193704,31.5,-0.5
193705,45.7,2.7
193706,52.3,-0.7
193707,60.9,2.2
193708,61.8,5.4
193709,48.2,2.3
193710,33.9,-0.2
193711,19.0,-1.3
193712,7.5,-1.8
193801,7.8,3.6
193802,5.9,-2.6
193803,25.2,6.0
193804,33.4,1.4
193805,42.9,-0.1
193806,54.2,1.2
193807,59.6,0.9
193808,58.7,2.3
193809,50.0,4.1
193810,40.0,5.9
193811,17.7,-2.6
193812,12.7,3.4
193901,14.0,9.8
193902,-2.3,-10.8
193903,19.7,0.5
193904,31.1,-0.9
193905,48.5,5.5
193906,52.7,-0.3
193907,61.5,2.8
193908,55.2,-1.2
193909,47.7,1.8
193910,33.8,-0.3
193911,22.5,2.2
193912,17.9,8.6
194001,-4.7,-8.9
194002,10.4,1.9
194003,20.6,1.4
194004,31.2,-0.8
194005,41.6,-1.4
194006,53.0,0.0
194007,62.0,3.3
194008,56.3,-0.1
194009,51.5,5.6
194010,39.3,5.2
194011,16.5,-3.8
194012,15.2,5.9
194101,8.0,3.8
194102,8.7,0.2
194103,19.4,0.2
194104,36.8,4.8
194105,48.1,5.1
194106,54.4,1.4
194107,60.2,1.5
194108,58.7,2.3
194109,47.4,1.5
194110,35.4,1.3
194111,23.5,3.2
194112,15.9,6.6
194201,9.6,5.4
194202,9.6,1.1
194203,23.1,3.9
194204,36.0,4.0
194205,41.1,-1.9
194206,52.6,-0.4
194207,58.0,-0.7
194208,56.6,0.2
194209,43.1,-2.8
194210,34.5,0.4
194211,20.3,0.0
194212,8.8,-0.5
194301,-3.8,-8.0
194302,12.2,3.7
194303,11.2,-8.0
194304,34.1,2.1
194305,39.0,-4.0
194306,53.0,0.0
194307,59.4,0.7
194308,58.0,1.6
194309,43.7,-2.2
194310,34.3,0.2
194311,22.0,1.7
194312,11.7,2.4
194401,12.6,8.4
194402,5.0,-3.5
194403,13.0,-6.2
194404,30.4,-1.6
194405,47.4,4.4
194406,52.4,-0.6
194407,56.7,-2.0
194408,56.2,-0.2
194409,45.0,-0.9
194410,33.8,-0.3
194411,22.8,2.5
194412,9.7,0.4
194501,10.4,6.2
194502,10.4,1.9
194503,24.0,4.8
194504,28.9,-3.1
194505,37.9,-5.1
194506,48.2,-4.8
194507,56.8,-1.9
194508,56.1,-0.3
194509,44.3,-1.6
194510,33.1,-1.0
194511,18.4,-1.9
194512,4.3,-5.0
194601,7.2,3.0
194602,9.8,1.3
194603,28.3,9.1
194604,36.9,4.9
194605,39.5,-3.5
194606,52.7,-0.3
194607,59.7,1.0
194608,53.6,-2.8
194609,45.9,0.0
194610,32.6,-1.5
194611,19.0,-1.3
194612,11.9,2.6
194701,11.9,7.7
194702,4.4,-4.1
194703,17.0,-2.2
194704,30.6,-1.4
194705,38.8,-4.2
194706,50.3,-2.7
194707,58.2,-0.5
194708,61.0,4.6
194709,46.4,0.5
194710,40.4,6.3
194711,16.6,-3.7
194712,10.8,1.5
194801,3.4,-0.8
194802,4.0,-4.5
194803,15.4,-3.8
194804,34.9,2.9
194805,43.4,0.4
194806,52.4,-0.6
194807,58.9,0.2
194808,57.0,0.6
194809,50.5,4.6
194810,32.7,-1.4
194811,22.1,1.8
194812,7.2,-2.1
194901,-4.1,-8.3
194902,-0.2,-8.7
194903,19.2,0.0
194904,33.2,1.2
194905,45.6,2.6
194906,53.1,0.1
194907,59.3,0.6
194908,58.2,1.8
194909,42.3,-3.6
194910,34.6,0.5
194911,27.5,7.2
194912,5.5,-3.8
195001,-9.4,-13.6
195002,7.2,-1.3
195003,13.0,-6.2
195004,26.4,-5.6
195005,39.7,-3.3
195006,50.5,-2.5
195007,54.3,-4.4
195008,52.5,-3.9
195009,46.3,0.4
195010,36.5,2.4
195011,16.2,-4.1
195012,8.3,-1.0
195101,2.3,-1.9
195102,9.9,1.4
195103,8.5,-10.7
195104,28.7,-3.3
195105,43.8,0.8
195106,47.8,-5.2
195107,57.4,-1.3
195108,55.4,-1.0
195109,42.4,-3.5
195110,33.4,-0.7
195111,16.3,-4.0
195112,1.0,-8.3
195201,0.7,-3.5
195202,13.8,5.3
195203,13.7,-5.5
195204,33.7,1.7
195205,43.2,0.2
195206,55.4,2.4
195207,57.0,-1.7
195208,56.1,-0.3
195209,47.9,2.0
195210,29.4,-4.7
195211,19.6,-0.7
195212,12.4,3.1
195301,11.0,6.8
195302,12.6,4.1
195303,21.1,1.9
195304,27.8,-4.2
195305,41.5,-1.5
195306,55.4,2.4
195307,58.1,-0.6
195308,58.3,1.9
195309,44.7,-1.2
195310,38.2,4.1
195311,25.4,5.1
195312,13.0,3.7
195401,-0.5,-4.7
195402,24.0,15.5
195403,15.7,-3.5
195404,30.9,-1.1
195405,39.4,-3.6
195406,52.6,-0.4
195407,61.0,2.3
195408,56.8,0.4
195409,47.5,1.6
195410,33.8,-0.3
195411,26.2,5.9
195412,15.3,6.0
195501,7.9,3.7
195502,3.0,-5.5
195503,15.3,-3.9
195504,36.5,4.5
195505,46.2,3.2
195506,51.6,-1.4
195507,61.9,3.2
195508,60.3,3.9
195509,46.1,0.2
195510,34.7,0.6
195511,10.2,-10.1
195512,2.0,-7.3
195601,3.6,-0.6
195602,3.2,-5.3
195603,17.8,-1.4
195604,25.6,-6.4
195605,44.5,1.5
195606,57.4,4.4
195607,56.8,-1.9
195608,55.5,-0.9
195609,43.7,-2.2
195610,36.6,2.5
195611,21.6,1.3
195612,14.6,5.3
195701,-3.5,-7.7
195702,10.2,1.7
195703,19.8,0.6
195704,30.7,-1.3
195705,43.5,0.5
195706,51.3,-1.7
195707,61.5,2.8
195708,58.3,1.9
195709,43.9,-2.0
195710,37.1,3.0
195711,23.1,2.8
195712,17.0,7.7
195801,12.2,8.0
195802,5.6,-2.9
195803,19.8,0.6
195804,32.1,0.1
195805,44.9,1.9
195806,49.8,-3.2
195807,54.9,-3.8
195808,56.8,0.4
195809,47.1,1.2
195810,34.3,0.2
195811,20.8,0.5
195812,6.9,-2.4
195901,1.3,-2.9
195902,2.3,-6.2
195903,23.4,4.2
195904,29.9,-2.1
195905,42.4,-0.6
195906,56.0,3.0
195907,57.1,-1.6
195908,59.0,2.6
195909,45.5,-0.4
195910,30.2,-3.9
195911,14.0,-6.3
195912,19.6,10.3
196001,5.7,1.5
196002,5.2,-3.3
196003,10.2,-9.0
196004,32.8,0.8
196005,41.6,-1.4
196006,52.2,-0.8
196007,59.2,0.5
196008,56.6,0.2
196009,47.2,1.3
196010,34.3,0.2
196011,20.2,-0.1
196012,9.0,-0.3
196101,7.0,2.8
196102,13.8,5.3
196103,25.7,6.5
196104,27.2,-4.8
196105,41.7,-1.3
196106,53.9,0.9
196107,56.8,-1.9
196108,59.0,2.6
196109,42.9,-3.0
196110,34.6,0.5
196111,19.5,-0.8
196112,4.7,-4.6
196201,2.5,-1.7
196202,7.1,-1.4
196203,14.8,-4.4
196204,31.8,-0.2
196205,47.0,4.0
196206,53.9,0.9
196207,56.9,-1.8
196208,55.4,-1.0
196209,43.1,-2.8
196210,36.7,2.6
196211,25.5,5.2
196212,11.8,2.5
196301,-4.4,-8.6
196302,11.1,2.6
196303,25.1,5.9
196304,33.5,1.5
196305,43.3,0.3
196306,56.5,3.5
196307,60.7,2.0
196308,57.8,1.4
196309,51.0,5.1
196310,42.8,8.7
196311,23.0,2.7
196312,4.5,-4.8
196401,10.6,6.4
196402,13.7,5.2
196403,13.3,-5.9
196404,33.6,1.6
196405,45.8,2.8
196406,52.8,-0.2
196407,61.4,2.7
196408,53.6,-2.8
196409,43.6,-2.3
196410,33.1,-1.0
196411,17.3,-3.0
196412,2.6,-6.7
196501,2.4,-1.8
196502,5.2,-3.3
196503,8.5,-10.7
196504,33.1,1.1
196505,43.5,0.5
196506,53.8,0.8
196507,58.9,0.2
196508,55.6,-0.8
196509,38.9,-7.0
196510,36.8,2.7
196511,20.7,0.4
196512,17.3,8.0
196601,-4.5,-8.7
196602,3.8,-4.7
196603,23.1,3.9
196604,27.9,-4.1
196605,39.9,-3.1
196606,53.1,0.1
196607,63.2,4.5
196608,53.7,-2.7
196609,46.6,0.7
196610,33.0,-1.1
196611,17.5,-2.8
196612,11.2,1.9
196701,9.5,5.3
196702,5.9,-2.6
196703,22.7,3.5
196704,32.1,0.1
196705,38.7,-4.3
196706,52.1,-0.9
196707,55.7,-3.0
196708,53.7,-2.7
196709,46.8,0.9
196710,34.3,0.2
196711,20.2,-0.1
196712,8.0,-1.3
196801,4.4,0.2
196802,9.6,1.1
196803,23.8,4.6
196804,30.6,-1.4
196805,38.8,-4.2
196806,53.1,0.1
196807,57.6,-1.1
196808,55.0,-1.4
196809,45.2,-0.7
196810,34.9,0.8
196811,23.2,2.9
196812,5.3,-4.0
196901,-2.4,-6.6
196902,10.8,2.3
196903,11.7,-7.5
196904,35.5,3.5
196905,44.2,1.2
196906,47.9,-5.1
196907,58.8,0.1
196908,59.0,2.6
196909,48.6,2.7
196910,30.7,-3.4
196911,22.8,2.5
196912,12.2,2.9
197001,-1.3,-5.5
197002,11.3,2.8
197003,15.0,-4.2
197004,30.1,-1.9
197005,43.9,0.9
197006,54.6,1.6
197007,58.8,0.1
197008,57.8,1.4
197009,45.7,-0.2
197010,32.1,-2.0
197011,21.5,1.2
197012,4.9,-4.4
197101,0.2,-4.0
197102,7.6,-0.9
197103,19.7,0.5
197104,33.2,1.2
197105,41.3,-1.7
197106,56.6,3.6
197107,53.7,-5.0
197108,56.8,0.4
197109,45.1,-0.8
197110,35.9,1.8
197111,22.6,2.3
197112,6.3,-3.0
197201,-1.3,-5.5
197202,4.7,-3.8
197203,20.6,1.4
197204,31.9,-0.1
197205,46.1,3.1
197206,53.6,0.6
197207,55.3,-3.4
197208,56.7,0.3
197209,45.0,-0.9
197210,31.3,-2.8
197211,21.7,1.4
197212,3.7,-5.6
197301,8.9,4.7
197302,13.5,5.0
197303,28.2,9.0
197304,31.3,-0.7
197305,40.9,-2.1
197306,52.8,-0.2
197307,57.6,-1.1
197308,59.6,3.2
197309,45.5,-0.4
197310,38.0,3.9
197311,21.5,1.2
197312,9.6,0.3
197401,4.3,0.1
197402,13.2,4.7
197403,21.4,2.2
197404,33.3,1.3
197405,41.4,-1.6
197406,51.2,-1.8
197407,62.1,3.4
197408,52.7,-3.7
197409,40.9,-5.0
197410,35.1,1.0
197411,22.3,2.0
197412,13.0,3.7
197501,8.2,4.0
197502,4.6,-3.9
197503,14.4,-4.8
197504,30.4,-1.6
197505,43.8,0.8
197506,53.0,0.0
197507,61.4,2.7
197508,56.9,0.5
197509,43.1,-2.8
197510,34.9,0.8
197511,20.3,0.0
197512,12.2,2.9
197601,6.0,1.8
197602,19.1,10.6
197603,19.4,0.2
197604,35.8,3.8
197605,41.3,-1.7
197606,53.4,0.4
197607,59.8,1.1
197608,58.7,2.3
197609,45.8,-0.1
197610,29.7,-4.4
197611,14.2,-6.1
197612,7.6,-1.7
197701,-4.8,-9.0
197702,17.2,8.7
197703,23.9,4.7
197704,37.3,5.3
197705,50.4,7.4
197706,55.8,2.8
197707,60.3,1.6
197708,52.8,-3.6
197709,48.1,2.2
197710,35.0,0.9
197711,19.9,-0.4
197712,7.1,-2.2
197801,-7.2,-11.4
197802,0.6,-7.9
197803,19.9,0.7
197804,34.2,2.2
197805,45.0,2.0
197806,52.3,-0.7
197807,58.4,-0.3
197808,55.8,-0.6
197809,50.1,4.2
197810,33.4,-0.7
197811,16.1,-4.2
197812,4.1,-5.2
197901,-7.9,-12.1
197902,-3.4,-11.9
197903,19.6,0.4
197904,30.5,-1.5
197905,39.9,-3.1
197906,52.6,-0.4
197907,59.3,0.6
197908,56.2,-0.2
197909,48.1,2.2
197910,34.3,0.2
197911,19.2,-1.1
197912,15.1,5.8
198001,4.6,0.4
198002,9.6,1.1
198003,17.2,-2.0
198004,33.8,1.8
198005,44.5,1.5
198006,54.4,1.4
198007,59.7,1.0
198008,56.5,0.1
198009,46.1,0.2
198010,33.7,-0.4
198011,25.6,5.3
198012,12.5,3.2
198101,13.2,9.0
198102,13.5,5.0
198103,22.6,3.4
198104,36.8,4.8
198105,42.7,-0.3
198106,52.6,-0.4
198107,60.1,1.4
198108,57.2,0.8
198109,46.2,0.3
198110,35.2,1.1
198111,25.7,5.4
198112,10.6,1.3
198201,-7.4,-11.6
198202,7.8,-0.7
198203,20.4,1.2
198204,29.2,-2.8
198205,45.7,2.7
198206,49.5,-3.5
198207,59.3,0.6
198208,57.6,1.2
198209,46.1,0.2
198210,35.2,1.1
198211,18.3,-2.0
198212,14.3,5.0
198301,15.2,11.0
198302,19.4,10.9
198303,24.6,5.4
198304,28.7,-3.3
198305,39.1,-3.9
198306,52.0,-1.0
198307,61.7,3.0
198308,62.8,6.4
198309,46.2,0.3
198310,35.8,1.7
198311,24.0,3.7
198312,-6.9,-16.2
198401,10.4,6.2
198402,20.2,11.7
198403,19.4,0.2
198404,32.8,0.8
198405,41.1,-1.9
198406,53.6,0.6
198407,58.9,0.2
198408,59.5,3.1
198409,41.7,-4.2
198410,34.8,0.7
198411,21.5,1.2
198412,3.9,-5.4
198501,2.0,-2.2
198502,6.4,-2.1
198503,22.9,3.7
198504,35.5,3.5
198505,46.7,3.7
198506,49.2,-3.8
198507,58.9,0.2
198508,54.2,-2.2
198509,45.9,0.0
198510,33.5,-0.6
198511,8.7,-11.6
198512,2.3,-7.0
198601,13.8,9.6
198602,8.5,0.0
198603,28.3,9.1
198604,33.4,1.4
198605,44.4,1.4
198606,56.3,3.3
198607,59.2,0.5
198608,53.9,-2.5
198609,46.6,0.7
198610,36.3,2.2
198611,17.8,-2.5
198612,15.3,6.0
198701,14.3,10.1
198702,21.5,13.0
198703,23.2,4.0
198704,36.5,4.5
198705,49.1,6.1
198706,55.3,2.3
198707,61.1,2.4
198708,55.1,-1.3
198709,46.0,0.1
198710,30.5,-3.6
198711,26.4,6.1
198712,15.6,6.3
198801,1.6,-2.6
198802,6.4,-2.1
198803,21.7,2.5
198804,30.4,-1.6
198805,48.2,5.2
198806,60.6,7.6
198807,60.4,1.7
198808,57.7,1.3
198809,45.6,-0.3
198810,32.7,-1.4
198811,22.6,2.3
198812,12.6,3.3
198901,11.5,7.3
198902,-0.3,-8.8
198903,17.1,-2.1
198904,33.3,1.3
198905,43.1,0.1
198906,50.6,-2.4
198907,62.0,3.3
198908,58.2,1.8
198909,46.3,0.4
198910,34.2,0.1
198911,21.2,0.9
198912,2.9,-6.4
199001,17.8,13.6
199002,13.5,5.0
199003,24.5,5.3
199004,30.7,-1.3
199005,42.1,-0.9
199006,54.6,1.6
199007,58.1,-0.6
199008,58.0,1.6
199009,50.0,4.1
199010,32.5,-1.6
199011,23.7,3.4
199012,2.9,-6.4
199101,3.6,-0.6
199102,18.7,10.2
199103,23.7,4.5
199104,35.4,3.4
199105,47.6,4.6
199106,58.5,5.5
199107,59.0,0.3
199108,59.2,2.8
199109,46.9,1.0
199110,31.2,-2.9
199111,17.3,-3.0
199112,16.3,7.0
199201,16.0,11.8
199202,21.3,12.8
199203,26.2,7.0
199204,31.7,-0.3
199205,43.5,0.5
199206,51.5,-1.5
199207,53.7,-5.0
199208,52.6,-3.8
199209,45.0,-0.9
199210,33.7,-0.4
199211,22.9,2.6
199212,7.2,-2.1
199301,2.7,-1.5
199302,4.4,-4.1
199303,22.1,2.9
199304,32.1,0.1
199305,43.5,0.5
199306,50.6,-2.4
199307,56.4,-2.3
199308,55.9,-0.5
199309,41.8,-4.1
199310,32.0,-2.1
199311,17.9,-2.4
199312,14.5,5.2
199401,0.5,-3.7
199402,1.9,-6.6
199403,24.4,5.2
199404,31.4,-0.6
199405,46.6,3.6
199406,55.2,2.2
199407,55.8,-2.9
199408,55.5,-0.9
199409,48.6,2.7
199410,38.4,4.3
199411,23.6,3.3
199412,14.2,4.9
199501,9.9,5.7
199502,14.9,6.4
199503,20.7,1.5
199504,29.3,-2.7
199505,42.2,-0.8
199506,54.5,1.5
199507,58.6,-0.1
199508,60.5,4.1
199509,45.9,0.0
199510,35.3,1.2
199511,19.4,-0.9
199512,12.4,3.1
199601,-0.4,-4.6
199602,12.0,3.5
199603,13.5,-5.7
199604,29.4,-2.6
199605,42.5,-0.5
199606,55.0,2.0
199607,56.3,-2.4
199608,56.9,0.5
199609,46.9,1.0
199610,33.6,-0.5
199611,14.0,-6.3
199612,2.6,-6.7
199701,1.2,-3.0
199702,13.6,5.1
199703,20.4,1.2
199704,28.3,-3.7
199705,40.6,-2.4
199706,55.7,2.7
199707,59.8,1.1
199708,57.5,1.1
199709,49.3,3.4
199710,35.8,1.7
199711,19.6,-0.7
199712,18.8,9.5
199801,9.2,5.0
199802,24.5,16.0
199803,17.8,-1.4
199804,34.0,2.0
199805,46.4,3.4
199806,50.6,-2.4
199807,61.2,2.5
199808,59.6,3.2
199809,52.0,6.1
199810,37.8,3.7
199811,27.3,7.0
199812,13.6,4.3
199901,7.0,2.8
199902,22.2,13.7
199903,25.0,5.8
199904,33.8,1.8
199905,44.2,1.2
199906,53.8,0.8
199907,60.7,2.0
199908,57.3,0.9
199909,43.6,-2.3
199910,33.4,-0.7
199911,28.4,8.1
199912,17.4,8.1
200001,9.8,5.6
200002,18.1,9.6
200003,26.2,7.0
200004,31.6,-0.4
200005,45.0,2.0
200006,51.4,-1.6
200007,60.1,1.4
200008,59.2,2.8
200009,46.6,0.7
200010,37.6,3.5
200011,15.5,-4.8
200012,0.7,-8.6
200101,12.6,8.4
200102,2.4,-6.1
200103,20.0,0.8
200104,34.2,2.2
200105,45.5,2.5
200106,53.9,0.9
200107,62.3,3.6
200108,59.0,2.6
200109,48.6,2.7
200110,34.0,-0.1
200111,27.3,7.0
200112,14.9,5.6
200201,13.4,9.2
200202,16.8,8.3
200203,11.7,-7.5
200204,31.0,-1.0
200205,38.6,-4.4
200206,56.1,3.1
200207,63.2,4.5
200208,57.0,0.6
200209,49.3,3.4
200210,29.3,-4.8
200211,23.0,2.7
200212,16.2,6.9
200301,8.8,4.6
200302,7.8,-0.7
200303,19.4,0.2
200304,35.2,3.2
200305,43.1,0.1
200306,52.0,-1.0
200307,60.0,1.3
200308,60.4,4.0
200309,45.2,-0.7
200310,37.3,3.2
200311,17.6,-2.7
200312,17.7,8.4
200401,6.1,1.9
200402,12.5,4.0
200403,26.9,7.7
200404,32.9,0.9
200405,42.7,-0.3
200406,49.4,-3.6
200407,57.8,-0.9
200408,52.5,-3.9
200409,50.0,4.1
200410,36.6,2.5
200411,24.8,4.5
200412,16.3,7.0
200501,6.7,2.5
200502,17.0,8.5
200503,22.6,3.4
200504,35.1,3.1
200505,41.8,-1.2
200506,56.8,3.8
200507,60.4,1.7
200508,56.9,0.5
200509,50.6,4.7
200510,35.8,1.7
200511,24.9,4.6
200512,11.8,2.5
200601,23.0,18.8
200602,12.3,3.8
200603,22.2,3.0
200604,36.9,4.9
200605,44.1,1.1
200606,55.0,2.0
200607,62.8,4.1
200608,58.6,2.2
200609,44.9,-1.0
200610,31.7,-2.4
200611,21.3,1.0
200612,15.2,5.9
200701,9.4,5.2
200702,5.9,-2.6
200703,28.2,9.0
200704,31.1,-0.9
200705,47.2,4.2
200706,55.8,2.8
200707,62.6,3.9
200708,59.4,3.0
200709,48.3,2.4
200710,37.8,3.7
200711,22.6,2.3
200712,9.0,-0.3
200801,4.6,0.4
200802,7.2,-1.3
200803,20.4,1.2
200804,28.6,-3.4
200805,40.9,-2.1
200806,51.6,-1.4
200807,59.3,0.6
200808,57.9,1.5
200809,46.3,0.4
200810,35.0,0.9
200811,24.6,4.3
200812,3.5,-5.8
200901,5.6,1.4
200902,13.0,4.5
200903,18.3,-0.9
200904,31.0,-1.0
200905,41.8,-1.2
200906,51.8,-1.2
200907,55.4,-3.3
200908,54.2,-2.2
200909,50.0,4.1
200910,31.4,-2.7
200911,27.0,6.7
200912,5.3,-4.0
201001,6.5,2.3
201002,5.2,-3.3
201003,27.1,7.9
201004,36.9,4.9
201005,43.1,0.1
201006,54.7,1.7
201007,59.8,1.1
201008,60.0,3.6
201009,46.1,0.2
201010,38.0,3.9
201011,21.2,0.9
201012,8.6,-0.7
201101,3.3,-0.9
201102,6.0,-2.5
201103,18.2,-1.0
201104,32.7,0.7
201105,42.2,-0.8
201106,53.0,0.0
201107,64.1,5.4
201108,58.5,2.1
201109,45.0,-0.9
201110,38.0,3.9
201111,21.4,1.1
201112,15.9,6.6
201201,13.5,9.3
201202,13.9,5.4
201203,32.4,13.2
201204,36.8,4.8
201205,44.9,1.9
201206,56.5,3.5
201207,64.4,5.7
201208,55.3,-1.1
201209,45.4,-0.5
201210,32.9,-1.2
201211,22.9,2.6
201212,11.4,2.1
201301,9.2,5.0
201302,13.7,5.2
201303,16.3,-2.9
201304,25.5,-6.5
201305,43.2,0.2
201306,53.4,0.4
201307,59.1,0.4
201308,59.4,3.0
201309,52.2,6.3
201310,34.3,0.2
201311,20.0,-0.3
201312,2.9,-6.4
201401,6.4,2.2
201402,2.5,-6.0
201403,17.3,-1.9
201404,30.0,-2.0
201405,43.4,0.4
201406,52.8,-0.2
201407,56.5,-2.2
201408,58.0,1.6
201409,47.2,1.3
201410,36.5,2.4
201411,14.6,-5.7
201412,14.8,5.5
201501,12.2,8.0
201502,7.0,-1.5
201503,23.9,4.7
201504,33.3,1.3
201505,42.3,-0.7
201506,55.8,2.8
201507,59.0,0.3
201508,56.8,0.4
201509,52.2,6.3
201510,39.1,5.0
201511,25.0,4.7
201512,16.1,6.8
201601,11.0,6.8
201602,21.4,12.9
201603,26.8,7.6
201604,33.9,1.9
201605,43.1,0.1
201606,56.4,3.4
201607,59.4,0.7
201608,57.4,1.0
201609,49.6,3.7
201610,38.7,4.6
201611,29.8,9.5
201612,6.2,-3.1
201701,8.4,4.2
201702,18.9,10.4
201703,24.2,5.0
201704,33.2,1.2
201705,42.6,-0.4
201706,53.6,0.6
201707,61.0,2.3
201708,54.6,-1.8
201709,48.4,2.5
201710,34.5,0.4
201711,22.6,2.3
201712,11.7,2.4
201801,7.0,2.8
201802,-0.1,-8.6
201803,21.3,2.1
201804,24.7,-7.3
201805,49.0,6.0
201806,57.4,4.4
201807,59.8,1.1
201808,56.4,0.0
201809,49.6,3.7
201810,31.8,-2.3
201811,19.6,-0.7
201812,15.6,6.3
201901,8.5,4.3
201902,-2.8,-11.3
201903,15.7,-3.5
201904,32.9,0.9
201905,40.0,-3.0
201906,53.8,0.8
201907,60.7,2.0
201908,57.1,0.7
201909,51.2,5.3
201910,29.6,-4.5
201911,20.8,0.5
201912,14.7,5.4
202001,11.2,7.0
202002,13.0,4.5
202003,25.4,6.2
202004,28.1,-3.9
202005,42.6,-0.4
202006,57.4,4.4
202007,60.4,1.7
202008,58.4,2.0
202009,46.0,0.1
202010,29.3,-4.8
202011,24.7,4.4
202012,16.7,7.4
202101,18.2,14.0
202102,2.3,-6.2
202103,26.5,7.3
202104,30.1,-1.9
202105,42.1,-0.9
202106,57.1,4.1
202107,61.9,3.2
202108,58.1,1.7
202109,50.4,4.5
202110,39.2,5.1
202111,26.0,5.7
202112,13.8,4.5
202201,6.2,2.0
202202,6.2,-2.3
202203,20.4,1.2
202204,27.2,-4.8
202205,42.8,-0.2
202206,54.4,1.4
202207,61.0,2.3
202208,59.1,2.7
202209,49.8,3.9
202210,35.0,0.9
202211,17.7,-2.6
202212,5.7,-3.6
202301,11.3,7.1
202302,10.7,2.2
202303,14.2,-5.0
202304,28.8,-3.2


Nebraska, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1895-2000
Missing: -99
Date,Value,Anomaly
189501,4.7,-5.9
189502,6.7,-7.9
189503,19.6,-3.7
189504,39.0,4.4
189505,44.1,-1.3
189506,53.1,-2.2
189507,56.9,-3.9
189508,56.6,-2.2
189509,49.3,0.6
189510,30.1,-6.4
189511,19.7,-3.7
189512,14.3,0.1
189601,13.8,3.2
189602,18.1,3.5
189603,17.4,-5.9
189604,37.3,2.7
189605,49.2,3.8
189606,54.7,-0.6
189607,59.7,-1.1
189608,57.4,-1.4
189609,45.0,-3.7
189610,31.3,-5.2
189611,12.9,-10.5
189612,20.9,6.7
189701,9.6,-1.0
189702,14.6,0.0
189703,21.1,-2.2
189704,34.6,0.0
189705,44.3,-1.1
189706,54.5,-0.8
189707,59.1,-1.7
189708,55.6,-3.2
189709,54.2,5.5
189710,38.3,1.8
189711,20.1,-3.3
189712,11.1,-3.1
189801,14.3,3.7
189802,17.0,2.4
189803,20.4,-2.9
189804,33.2,-1.4
189805,44.7,-0.7
189806,56.7,1.4
189807,59.0,-1.8
189808,58.2,-0.6
189809,47.2,-1.5
189810,31.8,-4.7
189811,16.8,-6.6
189812,9.5,-4.7
189901,8.2,-2.4
189902,-1.8,-16.4
189903,14.0,-9.3
189904,32.6,-2.0
189905,45.4,0.0
189906,54.8,-0.5
189907,59.1,-1.7
189908,59.3,0.5
189909,46.8,-1.9
189910,36.0,-0.5
189911,27.5,4.1
189912,12.5,-1.7
190001,16.6,6.0
190002,7.6,-7.0
190003,21.8,-1.5
190004,38.5,3.9
190005,48.2,2.8
190006,56.4,1.1
190007,59.6,-1.2
190008,61.8,3.0
190009,49.9,1.2
190010,39.3,2.8
190011,21.5,-1.9
190012,18.5,4.3
190101,12.2,1.6
190102,7.9,-6.7
190103,22.1,-1.2
190104,36.1,1.5
190105,45.6,0.2
190106,56.0,0.7
190107,64.6,3.8
190108,58.6,-0.2
190109,48.4,-0.3
190110,38.2,1.7
190111,23.7,0.3
190112,11.5,-2.7
190201,11.0,0.4
190202,12.4,-2.2
190203,25.9,2.6
190204,33.1,-1.5
190205,49.2,3.8
190206,52.7,-2.6
190207,58.6,-2.2
190208,58.3,-0.5
190209,43.8,-4.9
190210,37.3,0.8
190211,25.1,1.7
190212,10.0,-4.2
190301,14.0,3.4
190302,7.2,-7.4
190303,23.2,-0.1
190304,34.6,0.0
190305,45.5,0.1
190306,51.2,-4.1
190307,60.1,-0.7
190308,57.9,-0.9
190309,45.2,-3.5
190310,36.5,0.0
190311,24.0,0.6
190312,14.0,-0.2
190401,9.6,-1.0
190402,9.0,-5.6
190403,22.1,-1.2
190404,30.8,-3.8
190405,45.1,-0.3
190406,53.4,-1.9
190407,57.6,-3.2
190408,56.4,-2.4
190409,47.5,-1.2
190410,38.9,2.4
190411,24.2,0.8
190412,14.1,-0.1
190501,5.5,-5.1
190502,2.4,-12.2
190503,30.1,6.8
190504,32.7,-1.9
190505,43.3,-2.1
190506,55.8,0.5
190507,57.4,-3.4
190508,59.6,0.8
190509,50.6,1.9
190510,32.4,-4.1
190511,25.1,1.7
190512,14.3,0.1
190601,15.8,5.2
190602,14.1,-0.5
190603,15.4,-7.9
190604,37.4,2.8
190605,45.7,0.3
190606,51.4,-3.9
190607,55.2,-5.6
190608,58.0,-0.8
190609,49.5,0.8
190610,34.6,-1.9
190611,24.2,0.8
190612,18.5,4.3
190701,8.6,-2.0
190702,16.8,2.2
190703,28.6,5.3
190704,27.5,-7.1
190705,38.6,-6.8
190706,53.2,-2.1
190707,59.9,-0.9
190708,57.4,-1.4
190709,47.4,-1.3
190710,35.2,-1.3
190711,21.2,-2.2
190712,16.0,1.8
190801,15.6,5.0
190802,16.0,1.4
190803,24.5,1.2
190804,34.3,-0.3
190805,43.1,-2.3
190806,53.7,-1.6
190807,58.8,-2.0
190808,56.5,-2.3
190809,50.4,1.7
190810,35.3,-1.2
190811,23.9,0.5
190812,15.6,1.4
190901,10.4,-0.2
190902,13.0,-1.6
190903,22.4,-0.9
190904,29.7,-4.9
190905,42.0,-3.4
190906,56.0,0.7
190907,61.0,0.2
190908,61.6,2.8
190909,48.3,-0.4
190910,34.9,-1.6
